  Index  Text                                                                                                                                                                        Tokens            S1         S2         Delta
-------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------  ---------  ---------  ------------
   6002  @KyleCGShore a kiss on the cheek next time is enough :)                                                                                                                     great      0.93637    0.0644627   0.871908
   6016  @KyleCGShore a kiss on the cheek next time is enough :)                                                                                                                     great      0.93637    0.0644627   0.871908
   6047  @KyleCGShore a kiss on the cheek next time is enough :)                                                                                                                     great      0.93637    0.0644627   0.871908
   6062  @KyleCGShore a kiss on the cheek next time is enough :)                                                                                                                     great      0.93637    0.0644627   0.871908
   7658  @sophiaqualquer what for ? waste of time...:)                                                                                                                               great      0.933166   0.099291    0.833875
   7672  @sophiaqualquer what for ? waste of time...:)                                                                                                                               great      0.933166   0.099291    0.833875
   7703  @sophiaqualquer what for ? waste of time...:)                                                                                                                               great      0.933166   0.099291    0.833875
   7718  @sophiaqualquer what for ? waste of time...:)                                                                                                                               great      0.933166   0.099291    0.833875
   7842  Is holding not a rule anymore?                                                                                                                                              great      0.916162   0.091083    0.825079
   7856  Is holding not a rule anymore?                                                                                                                                              great      0.916162   0.091083    0.825079
   7887  Is holding not a rule anymore?                                                                                                                                              great      0.916162   0.091083    0.825079
   7902  Is holding not a rule anymore?                                                                                                                                              great      0.916162   0.091083    0.825079
    482  Alright who was dreaming about me last night because I could not for the life of me fall asleep http://t.co/AqyWHaBsjA                                                      great      0.900938   0.0779796   0.822959
    496  Alright who was dreaming about me last night because I could not for the life of me fall asleep http://t.co/AqyWHaBsjA                                                      great      0.900938   0.0779796   0.822959
    527  Alright who was dreaming about me last night because I could not for the life of me fall asleep http://t.co/AqyWHaBsjA                                                      great      0.900938   0.0779796   0.822959
    542  Alright who was dreaming about me last night because I could not for the life of me fall asleep http://t.co/AqyWHaBsjA                                                      great      0.900938   0.0779796   0.822959
   5910  @restlessduncan @SR_Duncan I accept him the way he is...                                                                                                                    great      0.913045   0.110419    0.802626
   5924  @restlessduncan @SR_Duncan I accept him the way he is...                                                                                                                    great      0.913045   0.110419    0.802626
   5955  @restlessduncan @SR_Duncan I accept him the way he is...                                                                                                                    great      0.913045   0.110419    0.802626
   5970  @restlessduncan @SR_Duncan I accept him the way he is...                                                                                                                    great      0.913045   0.110419    0.802626
   1034  Gah! Desperately trying to bust this cold!                                                                                                                                  great      0.966246   0.178668    0.787578
   1048  Gah! Desperately trying to bust this cold!                                                                                                                                  great      0.966246   0.178668    0.787578
   1079  Gah! Desperately trying to bust this cold!                                                                                                                                  great      0.966246   0.178668    0.787578
   1094  Gah! Desperately trying to bust this cold!                                                                                                                                  great      0.966246   0.178668    0.787578
    114  Sinking my teeth in to why the SPS failed in VT                                                                                                                             great      0.847863   0.0632174   0.784646
    128  Sinking my teeth in to why the SPS failed in VT                                                                                                                             great      0.847863   0.0632174   0.784646
    159  Sinking my teeth in to why the SPS failed in VT                                                                                                                             great      0.847863   0.0632174   0.784646
    174  Sinking my teeth in to why the SPS failed in VT                                                                                                                             great      0.847863   0.0632174   0.784646
